iter	Passed	Remaining
188	473075	19551277
189	476208	19574667
190	477922	19539776
191	480618	19545171
192	482958	19536066
193	484203	19482934
194	487147	19498394
195	490095	19513791
196	492339	19501129
197	494687	19492700
198	495688	19431487
199	496094	19347675
200	496514	19265262
201	499716	19291040
202	502321	19293610
203	505573	19320831
204	508462	19333959
205	511448	19350641
206	513297	19324297
207	516688	19355954
208	519162	19353071
209	522343	19376465
210	525232	19388785
211	528052	19398473
212	530891	19408686
213	533919	19425674
214	537232	19452820
215	540301	19470848
216	543350	19487994
217	543980	19418620
218	546773	19426700
219	550374	19463244
220	553480	19482003
221	555252	19453830
222	558572	19479905
223	561673	19498085
224	563953	19487721
225	567351	19515900
226	570148	19523181
227	571245	19472469
228	574096	19481675
229	575994	19458580
230	579094	19476135
231	582463	19502477
232	585472	19516594
233	587749	19506239
234	591129	19532425
235	592416	19489491
236	594002	19456725
237	596997	19470150
238	598698	19441405
239	599128	19371833
240	600526	19333976
241	603299	19340491
242	605208	19319339
243	608474	19341519
244	609655	19297466
245	612994	19321785
246	615946	19333749
247	618916	19346136
248	621850	19357295
249	622955	19311635
250	625981	19325607
251	628714	19330470
252	630507	19306474
253	633294	19312998
254	636069	19319066
255	637669	19289515
256	640108	19285446
257	641276	19243251
258	644407	19260075
259	647051	19262218
260	649339	19253772
261	650965	19225840
262	653925	19237332
263	656698	19243269
264	658692	19226367
265	659172	19165554
266	661877	19169666
267	664757	19178758
268	667934	19196280
269	670437	19194371
270	671357	19147326
271	672051	19094159
272	674664	19095717
273	677364	19099688
274	680286	19109876
275	681899	19083300
276	684789	19092520
277	687682	19101747
278	690411	19106333
279	693233	19113425
280	695596	19107848
281	698345	19112870
282	701045	19116488
283	703781	19121052
284	706877	19135301
285	709773	19144018
286	710178	19085732
287	712731	19085361
288	715821	19099299
289	718667	19106640
290	722237	19133090
291	725301	19145963
292	725702	19088689
293	726382	19039119
294	728743	19033801
295	731688	19043688
296	734407	19047613
297	737489	19060889
298	740502	19072284
299	743619	19086243
300	745554	19069855
301	746364	19024876
302	749367	19035920
303	752613	19053006
304	755371	19057640
305	758595	19073977
306	761522	19082704
307	764339	19088624
308	765749	19059475
309	768778	19070674
310	771746	19080254
311	774684	19089016
312	777371	19091558
313	780230	19098246
314	782857	19099229
315	785586	19102689
316	788419	19108612
317	790906	19106100
318	794010	19118481
319	796933	19126406
320	799813	19133223
321	802443	19134041
322	805553	19146246
323	808358	19151121
324	811357	19160524
325	814047	19162569
326	816491	19158825
327	819521	19168805
328	822356	19174153
329	825474	19186025
330	828258	19190066
331	831432	19203083
332	834567	19215102
333	838008	19234059
334	840996	19242492
335	844705	19267324
336	847906	19280445
337	850966	19290243
338	854006	19299535
339	857159	19311292
340	860347	19323754
341	863517	19335714
342	866572	19345040
343	869441	19350129
344	872393	19357014
345	875274	19362295
346	878527	19375714
347	882142	19397001
348	885384	19409957
349	888529	19420716
350	891631	19430462
351	894989	19445677
352	898063	19454647
353	901550	19472462
354	905326	19496406
355	909015	19518306
356	912039	19525826
357	915016	19532276
358	917554	19529351
359	920747	19540313
360	923786	19547942
361	927036	19559954
362	930069	19567337
363	933319	19579200
364	936571	19591022
365	939193	19589620
366	942554	19603592
367	945641	19611774
368	948912	19623716
369	951937	19630486
370	955338	19644942
371	958907	19662761
372	962083	19672410
373	965438	19685662
374	968838	19699723
375	971940	19707645
376	974835	19711331
377	978119	19722820
378	981107	19728288
379	984053	19732862
380	987457	19746550
381	990692	19756793
382	993513	19758727
383	996336	19760665
384	998866	19756805
385	1001832	19761537
386	1005008	19770365
387	1008412	19783599
388	1011039	19781546
389	1013653	19779247
390	1016662	19784609
391	1020082	19797923
392	1023142	19804185
393	1026027	19807011
394	1029287	19817046
395	1032558	19827202
396	1035796	19836686
397	1039394	19852960
398	1042423	19858295
399	1045397	19862559
400	1048472	19868682
401	1051354	19871128
402	1054629	19880937
403	1057925	19891087
404	1061252	19901761
405	1064564	19912078
406	1067524	19915761
407	1070426	19918331
408	1073346	19921198
409	1075977	19918712
410	1078888	19921373
411	1082129	19930093
412	1085842	19947424
413	1089407	19961940
414	1093015	19977160
415	1095828	19977796
416	1099050	19985843
417	1102212	19992758
418	1104633	19986216
419	1107676	19990922
420	1110525	19992094
421	1113447	19994560
422	1116417	19997867
423	1119044	19995008
424	1122456	20006134
425	1125130	20004089
426	1128458	20013622
427	1131306	20014605
428	1134712	20025424
429	1137939	20033033
430	1140897	20035861
431	1144111	20043142
432	1147089	20046253
433	1150395	20055057
434	1153008	20051747
435	1156507	20063812
436	1159558	20068065
437	1163282	20083892
438	1166593	20092511
439	1169653	20096778
440	1172723	20101176
441	1176049	20109917
442	1179024	20112612
443	1182281	20120092
444	1185914	20133890
445	1189031	20138884
446	1191795	20137880
447	1194729	20139729
448	1198111	20149081
449	1200745	20145834
450	1204110	20154827
451	1207414	20162750
452	1210683	20170035
453	1213534	20170326
454	1216511	20172698
455	1219658	20177853
456	1222952	20185407
457	1226373	20194993
458	1229222	20195132
459	1231944	20193178
460	1235383	20202944
461	1238577	20208645
462	1241958	20217375
463	1245151	20222981
464	1247796	20219672
465	1251038	20226017
466	1254206	20231133
467	1258021	20246618
468	1261229	20252275
469	1264435	20257863
470	1267948	20268333
471	1271230	20275052
472	1274280	20278029
473	1277356	20281403
474	1281002	20293775
475	1283826	20293089
476	1286930	20296813
477	1290063	20300960
478	1293424	20308662
479	1296645	20314118
480	1299605	20315458
481	1302393	20314100
482	1305638	20319848
483	1308719	20323013
484	1311968	20328751
485	1315586	20340153
486	1319148	20350641
487	1322192	20353089
488	1324960	20351287
489	1328642	20363482
490	1332203	20373753
491	1334989	20372159
492	1338287	20378341
493	1342093	20392216
494	1345184	20395173
495	1348391	20399860
496	1351368	20401040
497	1354223	20400377
498	1357626	20407925
499	1360596	20408946
500	1364485	20423711
501	1367261	20421761
502	1370504	20426781
503	1373507	20428204
504	1376715	20432644
505	1380622	20447394
506	1384087	20455550
507	1387427	20461817
508	1390301	20461195
509	1393992	20472557
510	1396650	20468724
511	1400133	20476951
512	1403097	20477562
513	1406625	20486377
514	1409437	20484740
515	1412730	20490069
516	1415437	20486879
517	1418101	20483085
518	1421183	20485309
519	1424181	20486307
520	1427127	20486536
521	1430494	20492788
522	1433668	20496251
523	1436863	20499981
524	1439460	20495178
525	1442422	20495563
526	1445123	20492240
527	1447944	20490604
528	1451200	20495116
529	1454392	20498704
530	1457587	20502298
531	1461016	20509149
532	1463908	20508455
533	1467125	20512277
534	1470344	20516111
535	1473427	20518032
536	1476377	20518075
537	1480178	20529905
538	1483751	20538535
539	1487469	20549117
540	1490665	20552448
541	1494169	20559997
542	1497609	20566614
543	1500738	20568939
544	1504234	20576277
545	1507059	20574400
546	1510463	20580403
547	1513712	20584283
548	1517149	20590678
549	1519810	20586517
550	1522946	20588802
551	1526036	20590432
552	1528976	20590028
553	1532211	20593592
554	1534884	20589574
555	1537239	20581308
556	1539998	20578471
557	1542914	20577719
558	1546054	20579947
559	1549502	20586245
560	1552946	20592454
561	1555972	20593108
562	1559513	20600541
563	1562514	20600809
564	1565893	20606049
565	1568877	20606073
566	1571828	20605647
567	1575594	20615879
568	1578972	20620986
569	1582145	20623411
570	1585405	20626930
571	1588866	20633039
572	1591942	20634130
573	1595610	20642863
574	1598417	20640433
575	1601518	20641796
576	1604867	20646324
577	1608009	20648175
578	1611628	20656125
579	1614709	20657148
580	1618185	20663193
581	1620985	20660602
582	1624186	20663110
583	1626981	20660435
584	1629992	20660508
585	1633265	20663870
586	1636261	20663719
587	1640042	20673458
588	1644470	20691285
589	1648961	20709839
590	1653623	20730449
591	1657760	20744412
592	1661636	20755040
593	1665350	20763609
594	1668908	20770196
595	1672818	20781124
596	1676153	20784861
597	1679562	20789503
598	1682808	20792091
599	1686666	20802223
600	1690786	20815517
601	1694695	20826173
602	1698384	20834081
603	1701703	20837420
604	1705614	20847971
605	1709327	20856047
606	1712589	20858607
607	1716462	20868567
608	1720487	20880337
609	1724668	20893939
610	1728180	20899389
611	1732141	20910230
612	1736229	20922551
613	1740006	20931084
614	1743300	20933778
615	1746363	20933681
616	1749881	20939018
617	1753856	20949792
618	1757871	20960986
619	1761862	20971843
620	1765021	20972776
621	1768459	20977001
622	1772840	20992366
623	1776155	20995069
624	1780215	21006541
625	1784059	21015420
626	1787540	21019988
627	1791737	21032946
628	1795084	21035873
629	1798642	21041256
630	1802392	21048863
631	1805908	21053692
632	1809580	21060317
633	1813503	21069826
634	1816750	21071443
635	1820474	21078571
636	1823763	21080642
637	1827171	21084075
638	1831016	21092503
639	1834788	21100068
640	1838611	21108178
641	1842441	21116326
642	1846931	21131997
643	1850893	21141575
644	1854912	21151755
645	1859244	21165456
646	1863085	21173524
647	1866571	21177520
648	1870458	21186046
649	1874704	21198582
650	1878780	21209154
651	1882793	21218971
652	1886560	21225969
653	1890603	21236040
654	1895072	21250850
655	1899054	21260142
656	1902415	21262462
657	1905315	21259620
658	1909245	21268245
659	1913634	21281940
660	1917450	21289214
661	1921508	21299133
662	1925485	21308125
663	1929309	21315388
664	1933828	21330268
665	1937780	21338862
666	1941303	21342699
667	1944809	21346320
668	1948152	21348135
669	1952082	21356368
670	1955749	21361677
671	1958956	21361959
672	1962883	21370056
673	1966383	21373475
674	1970116	21379409
675	1974095	21387982
676	1977169	21386719
677	1980815	21391635
678	1984630	21398354
679	1988322	21403704
680	1991743	21406128
681	1995514	21412275
682	1999026	21415631
683	2002964	21423516
684	2007091	21433391
685	2011066	21441599
686	2015771	21457546
687	2020379	21472408
688	2024153	21478349
689	2027698	21481847
690	2031541	21488479
691	2034684	21487681
692	2038417	21493102
693	2042399	21501115
694	2046146	21506620
695	2050067	21513924
696	2053627	21517419
697	2057234	21521381
698	2060962	21526594
699	2064465	21529422
700	2068131	21533944
701	2071733	21537762
702	2075303	21541239
703	2078829	21544228
704	2082652	21550287
705	2085831	21549648
706	2089395	21552989
707	2093312	21559933
708	2096344	21557751
709	2100539	21567509
710	2104880	21578720
711	2108955	21587171
712	2112593	21591123
713	2116345	21596210
714	2119840	21598658
715	2123665	21604444
716	2127690	21612233
717	2131921	21622080
718	2137255	21643060
719	2141305	21650979
720	2146158	21666968
721	2149909	21671807
722	2154010	21680132
723	2158149	21688809
724	2162545	21700022
725	2166052	21702294
726	2169667	21705630
727	2173271	21708828
728	2177398	21717232
729	2182235	21732670
730	2185931	21736708
731	2189798	21742426
732	2193620	21747665
733	2197151	21750007
734	2200830	21753784
735	2204176	21754268
736	2207885	21758311
737	2211560	21761995
738	2214836	21761744
739	2218591	21766185
740	2222189	21769056
741	2225591	21770004
742	2229966	21780435
743	2233755	21785124
744	2236862	21783135
745	2240024	21781684
746	2243638	21784618
747	2247255	21787559
748	2251306	21794695
749	2255604	21804181
750	2258965	21804584
751	2262312	21804837
752	2265960	21807985
753	2270151	21816333
754	2273497	21816545
755	2277501	21823046
756	2281318	21827727
757	2285174	21832760
758	2288562	21833307
759	2291653	21831010
760	2294877	21829986
761	2298678	21834431
762	2301966	21833990
763	2305491	21835779
764	2309451	21841678
765	2313296	21846455
766	2316734	21847384
767	2320322	21849702
768	2323976	21852629
769	2327279	21852246
770	2330916	21854984
771	2334669	21858799
772	2337828	21857029
773	2341610	21861077
774	2344814	21859725
775	2348475	21862613
776	2351921	21863486
777	2355808	21868439
778	2358858	21865614
779	2362331	21866711
780	2365234	21862519
781	2369358	21869606
782	2372461	21867246
783	2375615	21865358
784	2379201	21867437
785	2382409	21866035
786	2385900	21867219
787	2389661	21870858
788	2393223	21872667
789	2396717	21873838
790	2399781	21871080
791	2405701	21894309
792	2411225	21913876
793	2415786	21924628
794	2420637	21937980
795	2424653	21943726
796	2429573	21957617
797	2433969	21966730
798	2438238	21974659
799	2442716	21984452
800	2446651	21989316
801	2450864	21996663
802	2454360	21997545
803	2457968	21999427
804	2462165	22006557
805	2466015	22010564
806	2469617	22012341
807	2474262	22023386
808	2478253	22028577
809	2481908	22030766
810	2486021	22037005
811	2489994	22041967
812	2493691	22044482
813	2497212	22045415
814	2500668	22045769
815	2504458	22049056
816	2508115	22051153
817	2511675	22052388
818	2514895	22050628
819	2518384	22051223
820	2522622	22058354
821	2526061	22058475
822	2529078	22054912
823	2532702	22056645
824	2536358	22058629
825	2540235	22062529
826	2543995	22065392
827	2548039	22070703
828	2551909	22074477
829	2555769	22078152
830	2559795	22083244
831	2563169	22082690
832	2566931	22085475
833	2570423	22085913
834	2574024	22087289
835	2577892	22090937
836	2581271	22090375
837	2584739	22090581
838	2587918	22088301
839	2591219	22087058
840	2594696	22087313
841	2598504	22090372
842	2602409	22094244
