iter	TotalF1:average=Macro;use_weights=false	MultiClass
0	0.3025395313	1.259968141
1	0.3249661805	1.153895412
2	0.3200174093	1.06258082
3	0.3247447465	0.9832567061
4	0.3256695583	0.9161760608
5	0.3265607235	0.8540858037
6	0.325719898	0.7995198193
7	0.3266282364	0.7498350807
8	0.3302371905	0.7047512317
9	0.3298590443	0.6661905814
10	0.3307010799	0.629041023
11	0.3302872267	0.5956059104
12	0.3300786668	0.5641474034
13	0.3302508527	0.5357999076
14	0.3344001918	0.508399009
15	0.3347480684	0.4827831941
16	0.3320530211	0.4598523752
17	0.3331614243	0.4375849385
18	0.3706653335	0.4161522247
19	0.3721648465	0.3974388575
20	0.3766074672	0.3792495015
21	0.3782987747	0.3630869747
22	0.3858500603	0.3476598699
23	0.386226159	0.3330837179
24	0.3924298271	0.3199568053
25	0.3942507879	0.3062305585
26	0.3839884691	0.294189819
27	0.3867952714	0.2838567337
28	0.3884735284	0.2733685009
29	0.3998167559	0.2625439699
30	0.4019781556	0.2521630286
31	0.400727631	0.2427518369
32	0.4023730959	0.2340635862
33	0.405015101	0.2257917625
34	0.4047772881	0.2174741339
35	0.4027469744	0.209675383
36	0.4040728426	0.2029711512
37	0.408550642	0.1956454889
38	0.409987719	0.1891795283
39	0.4113862732	0.1835155009
40	0.4141413581	0.1774637541
41	0.41855509	0.1716742082
42	0.4200512866	0.1667202969
43	0.4260097607	0.1612711564
44	0.4267407801	0.1563336278
45	0.4252292833	0.1522509318
46	0.419800242	0.1478346889
47	0.4180154518	0.1436634237
48	0.4196621973	0.1393680488
49	0.426248945	0.1354141686
50	0.4276747583	0.1314516179
51	0.431160566	0.1276978321
52	0.446148157	0.1241841431
53	0.449915555	0.1209516401
54	0.4510591442	0.1177990703
55	0.452900722	0.1154082613
56	0.4483368341	0.112960893
57	0.4485264059	0.110741298
58	0.4475837055	0.1082771421
59	0.451740659	0.1058514084
60	0.4518668431	0.1045270722
61	0.4540756641	0.1025579693
62	0.4501758356	0.1004858938
63	0.4505115403	0.09856999382
64	0.454387996	0.09660718596
65	0.455060708	0.09457070911
66	0.4550285111	0.09265542279
67	0.4552435525	0.09100494131
68	0.4565234937	0.08948001841
69	0.4576416187	0.08781560477
70	0.4623004327	0.08637201484
71	0.4699527511	0.08492134966
72	0.4652966363	0.08365346702
73	0.4639980336	0.08241494926
74	0.4733505888	0.08108255283
75	0.4715819969	0.08052754896
76	0.4749669605	0.07934986478
77	0.475690519	0.07856733053
78	0.4780542775	0.07730206888
79	0.480998112	0.07611218279
80	0.4789957072	0.07555545953
81	0.4810033665	0.07437965896
82	0.4837939881	0.07334026463
83	0.4839283008	0.07274002619
84	0.4844711297	0.07190116647
85	0.4829859169	0.07075713083
86	0.4821191682	0.06983574086
87	0.4826367723	0.06884338321
88	0.4838686112	0.06823231239
89	0.4846719963	0.06730419347
90	0.4859938812	0.06645904423
91	0.4867870869	0.06570499945
92	0.4867328254	0.06535162825
93	0.4888631063	0.06446441328
94	0.4884364171	0.06422431268
95	0.4889373269	0.06340378091
96	0.4897090663	0.06299349159
97	0.4880888641	0.06263593503
98	0.4878589641	0.06225369716
99	0.4886273294	0.06205309643
100	0.4880458102	0.06197404912
101	0.4872333669	0.06112567582
102	0.4868618383	0.06069822409
103	0.4857685846	0.06003658861
104	0.4867265011	0.05961807943
105	0.4865232286	0.05955032645
106	0.4865307291	0.05857500664
107	0.4869758065	0.05807600833
108	0.4869892865	0.05759743164
109	0.4869226207	0.05721065928
110	0.4880954844	0.0570757585
111	0.4887590328	0.05656227684
112	0.4897382144	0.0563243398
113	0.4891799554	0.05571467636
114	0.4886208367	0.0552308675
115	0.4884782831	0.0547955355
116	0.4890890816	0.05447998009
117	0.4893137428	0.05410438455
118	0.4891203714	0.0538794366
119	0.4896425711	0.05369326826
120	0.4896456639	0.05368273719
121	0.4897956263	0.05362510959
122	0.4890278817	0.05356966001
123	0.4884435101	0.05311803052
124	0.4882573082	0.05274031025
125	0.4891552553	0.05217306311
126	0.4892560204	0.05208238278
127	0.4875227506	0.05183773605
128	0.4873551923	0.05142003164
129	0.487220665	0.05095971909
130	0.4872954927	0.05094544745
131	0.486917837	0.05067581115
132	0.4869253289	0.05066857251
133	0.4892903092	0.05022900094
134	0.4903003177	0.04992483468
135	0.490955624	0.0495265394
136	0.49050156	0.04905578525
137	0.4904062693	0.04880069094
138	0.4910014839	0.04841646415
139	0.4907334749	0.04815365822
140	0.4906136102	0.04809323808
141	0.4904320485	0.04767980345
142	0.4900868954	0.04767343003
143	0.4895644998	0.04752455751
144	0.4887012431	0.04720597861
145	0.4882117994	0.04681629259
146	0.4882156659	0.04680765809
147	0.4882092391	0.04663875637
148	0.488478465	0.046627059
149	0.4884788356	0.04662705362
150	0.4885316493	0.04636006628
151	0.4885326102	0.04636006085
152	0.4885696924	0.04628458821
153	0.4887362725	0.04608012704
154	0.488674356	0.04606272342
155	0.4881241742	0.04563266495
156	0.4879949273	0.04540546428
157	0.4879975529	0.04539996753
158	0.4879980219	0.04539996256
159	0.4897247161	0.04509966704
160	0.4898677226	0.04484995424
161	0.4898678168	0.04484994987
162	0.4898680996	0.04484994593
163	0.4893822826	0.0446361507
164	0.4909711348	0.04437996134
165	0.4924545101	0.04414965171
166	0.4925285408	0.04414426337
